Risk_Date,Threatened_Zone,Latitude,Longitude,Peak_Stress_Probability
2028-04-14,Tonga-Kermadec,-18.0,-175.0,86.84
2029-10-22,Java-Sumatra Trench,4.0,100.0,86.59
2029-10-22,Ninety East Ridge,4.0,90.0,86.59
2029-10-22,Sumatra-Java Trench,4.0,102.0,86.59
2027-05-07,Ninety East Ridge,-9.0,90.0,86.47
2028-03-30,Makran Subduction Zone,24.0,60.0,86.31
2026-12-01,Java-Sumatra Trench,3.0,100.0,86.3
2026-12-01,Sumatra-Java Trench,3.0,102.0,86.3
2029-10-22,Makran Subduction Zone,25.0,60.0,86.19
2026-03-06,Japan Trench,40.5,142.0,86.14
2030-04-18,Alpine Fault (New Zealand),-42.0,170.0,85.75
2026-02-22,Indo-Gangetic Plain / Himalayan Front,28.0,75.0,85.54
2026-02-22,Himalayan Thrust,28.0,70.0,85.54
2030-10-14,Indo-Burmese Arc,21.5,94.0,85.36
2026-03-06,North Anatolian Fault (Turkey),40.7,26.0,85.32
2026-02-21,Mediterranean-Hellenic,35.0,15.0,84.92
2026-02-21,San Andreas Fault (California),34.5,-124.0,84.92
2027-03-27,Chile-Peru Trench,-27.0,-72.0,84.74
2027-03-27,Tonga-Kermadec,-27.0,-175.0,84.74
2028-05-09,Andaman-Nicobar Trench,5.0,93.0,84.73
2028-05-09,Philippine Trench,5.0,126.0,84.73
2028-09-22,Andaman-Nicobar Segment,15.0,93.0,84.52
2026-02-23,East Anatolian Fault (Turkey),36.0,35.0,84.46
2028-03-30,Kachchh-Gujarat Rift,23.0,69.0,84.45
2030-10-13,Japan Trench,33.0,142.0,84.39
2030-10-13,San Andreas Fault (California),33.0,-124.0,84.39
2030-06-01,Andaman-Nicobar Segment,8.5,93.0,84.07
2030-06-01,Andaman-Nicobar Trench,8.5,93.0,84.07
2030-06-01,Philippine Trench,8.5,126.0,84.07
2030-10-13,Makran Subduction Zone,25.0,60.0,83.64
2030-09-15,Tonga-Kermadec,-21.5,-175.0,83.47
2030-09-18,East Anatolian Fault (Turkey),37.5,35.0,83.21
2030-03-08,Kachchh-Gujarat Rift,23.0,69.0,83.07
2030-03-20,Mediterranean-Hellenic,35.0,15.0,83.05
2030-11-10,Andaman-Nicobar Segment,11.5,93.0,82.84
2030-11-10,Andaman-Nicobar Trench,11.5,93.0,82.84
2027-10-16,Izu-Bonin-Mariana,19.0,145.0,82.51
2030-10-13,Ninety East Ridge,8.0,90.0,82.24
2028-03-30,Alpine Fault (New Zealand),-42.0,170.0,81.99
2030-03-22,Chile-Peru Trench,-24.0,-72.0,81.96
2030-10-13,Java-Sumatra Trench,4.0,100.0,81.94
2030-10-13,Sumatra-Java Trench,4.0,102.0,81.94
2030-10-11,Chile-Peru Trench,-19.5,-72.0,81.88
2028-09-22,Sumatra-Java Trench,-9.5,102.0,81.68
2028-09-22,Java-Sumatra Trench,-9.5,100.0,81.68
2028-09-22,Ninety East Ridge,-9.5,90.0,81.68
2028-09-20,Chile-Peru Trench,-11.5,-72.0,81.32
2026-07-18,Izu-Bonin-Mariana,27.0,145.0,81.06
2026-07-18,Indo-Gangetic Plain / Himalayan Front,27.0,75.0,81.06
2029-03-04,Indo-Gangetic Plain / Himalayan Front,27.0,75.0,80.85
2026-07-18,Philippine Trench,17.0,126.0,80.8
2026-07-18,Andaman-Nicobar Segment,13.5,93.0,80.63
